carbonization_temperature_C,d002_nm,id_ig,ssa_m2_g,electrolyte_type,current_density_mA_g,plateau_capacity_mAh_g
1050.0,0.374,0.75,2.0,0,30.0,109.01
1300.0,0.41,0.787,4.0,0,20.0,186.44
800.0,0.386,0.99,465.0,1,50.0,0.0
800.0,0.397,2.5,205.54,0,30.0,49.32
1000.0,0.393,2.22,220.92,0,30.0,93.7
1600.0,0.386,1.18,218.0,0,30.0,190.0
800.0,0.391,1.87,76.67,0,50.0,81.0
900.0,0.387,1.82,147.16,0,50.0,81.44
1000.0,0.383,1.69,253.46,0,50.0,129.64
1100.0,0.38,1.65,312.63,0,50.0,99.72
1000.0,0.369,1.05,1988.9,0,50.0,0.0
800.0,0.4,0.93,331.4,0,50.0,0.0
1000.0,0.353,1.56,2.74,0,30.0,0.0
1000.0,0.374,1.98,6.15,0,30.0,60.28
1000.0,0.37,2.03,10.95,0,30.0,61.0
800.0,0.36,1.2,1523.0,0,1000.0,0.0
1000.0,0.386,1.2,73.0,0,20.0,66.51
800.0,0.3773,2.49,338.0,0,30.0,61.73
800.0,0.381,2.51,334.0,0,30.0,27.08
1700.0,0.367,0.781,4.7,1,30.0,214.52
1000.0,0.391,2.45,751.6,0,50.0,63.48
1500.0,0.37,1.64,7.39,0,25.0,259.7
1000.0,0.397,1.226,29.098,0,50.0,134.52
1000.0,0.39,1.032,16.545,0,50.0,134.0
790.0,0.36,0.98,743.0,0,50.0,0.0
800.0,0.366,1.13,206.38,0,50.0,0.0
1500.0,0.365,1.07,100.0,0,50.0,94.51
1500.0,0.372,1.09,119.0,0,50.0,69.36
1000.0,0.381,2.97,235.0,1,20.0,74.28
800.0,0.403,2.87,11.67,0,30.0,82.0
1200.0,0.397,2.47,9.23,0,30.0,160.0
1400.0,0.392,2.22,8.57,0,30.0,189.0
1600.0,0.376,1.89,5.54,0,30.0,231.0
800.0,0.397,3.08,31.0,0,50.0,91.09
1000.0,0.388,2.7,20.8,0,50.0,165.95
800.0,0.4,1.8,528.0,0,27.0,0.0
1400.0,0.375,1.11,134.0,0,30.0,66.1
1400.0,0.378,1.08,146.0,0,30.0,81.99
1550.0,0.391,1.24,1.44,0,30.0,278.79
1550.0,0.389,1.245,0.39,0,30.0,238.09
1550.0,0.386,1.243,0.26,0,30.0,212.12
1000.0,0.394,1.26,232.0,0,30.0,40.36
1300.0,0.392,1.34,34.0,0,30.0,164.63
1500.0,0.371,1.67,12.0,0,30.0,173.75
1500.0,0.381,1.62,40.0,0,30.0,181.63
1100.0,0.389,1.05,10.8,0,30.0,93.68
1100.0,0.408,1.11,32.8,0,30.0,81.92
900.0,0.402,2.08,2.7,0,25.0,90.73
1100.0,0.393,1.82,46.1,0,25.0,153.17
900.0,0.392,1.89,27.9,0,25.0,99.19
1100.0,0.388,1.67,56.7,0,25.0,177.82
1300.0,0.382,1.45,13.4,0,25.0,234.68
1500.0,0.372,1.35,12.4,0,25.0,264.31
1200.0,0.391,1.692,638.9,0,50.0,67.84
900.0,0.378,1.64,1886.0,0,100.0,0.0
900.0,0.373,2.58,224.019,0,30.0,91.75
1000.0,0.363,2.48,137.074,0,30.0,108.25
1100.0,0.36,2.46,194.49,0,30.0,118.56
1400.0,0.392,1.83,6.5,0,30.0,219.38
1000.0,0.44,1.02,1.86,0,20.0,135.0
1100.0,0.4012,1.15,78.97,0,50.0,161.56
1100.0,0.3941,1.18,103.83,0,50.0,109.4
1300.0,0.375,1.35,1.8,0,20.0,181.8
900.0,0.403,1.852,325.27,0,25.0,39.53
1100.0,0.398,1.64,82.01,0,25.0,125.78
1300.0,0.391,1.52,36.2,0,25.0,206.18
1500.0,0.375,1.39,23.87,0,25.0,194.82
1000.0,0.386,2.15,15.6,0,25.0,133.0
1200.0,0.384,2.02,35.1,0,25.0,171.0
1300.0,0.376,1.73,26.7,0,25.0,196.0
1400.0,0.371,1.69,34.7,0,25.0,205.0
1000.0,0.385,1.89,103.0,0,25.0,134.0
1200.0,0.383,1.79,66.5,0,25.0,188.0
1300.0,0.379,1.71,38.6,0,25.0,217.0
1400.0,0.376,1.58,33.3,0,25.0,226.0
700.0,0.376,0.92,1006.0,0,100.0,0.0
900.0,0.41,1.07,171.54,0,100.0,53.73
1300.0,0.413,3.226,34.0,0,20.0,196.01
1300.0,0.401,2.5,20.0,0,20.0,215.96
1300.0,0.398,2.38,13.0,0,20.0,210.2
1300.0,0.391,1.923,1.74,0,20.0,225.72
1000.0,0.383,1.12,50.628,0,50.0,93.74
1000.0,0.382,1.09,546.0,0,100.0,0.0
750.0,0.345,0.91,21.8,0,20.0,0.0
600.0,0.361,0.93,44.1,0,20.0,0.0
750.0,0.366,1.05,75.2,0,20.0,0.0
600.0,0.4,1.04,430.0,0,20.0,0.0
800.0,0.43,0.93,586.65,0,50.0,0.0
700.0,0.382,1.65,313.0,1,50.0,0.0
700.0,0.37,1.4,320.0,1,50.0,0.0
700.0,0.37,1.37,379.0,1,50.0,0.0
1100.0,0.395,0.356,234.5,0,20.0,93.03
800.0,0.38458,2.94,9.974,0,50.0,24.53
600.0,0.371,0.85,539.0,0,30.0,0.0
700.0,0.366,0.94,531.0,0,30.0,0.0
800.0,0.363,0.93,508.0,0,30.0,0.0
900.0,0.359,0.92,467.0,0,30.0,0.0
900.0,0.4,1.29,198.46,0,50.0,0.0
700.0,0.38,0.89,1883.0,0,100.0,0.0
900.0,0.399,1.67,6.36,0,25.0,84.35
1500.0,0.368,1.124,3.21,0,25.0,182.43
1600.0,0.362,1.087,1.06,0,25.0,170.24
700.0,0.375,0.976,736.9,0,50.0,0.0
900.0,0.39,1.49,1.0,0,25.0,86.3
1100.0,0.374,1.76,126.6,0,20.0,107.14
1300.0,0.371,1.67,81.5,0,20.0,168.37
1500.0,0.367,1.5,8.9,0,20.0,221.43
1600.0,0.366,1.5,2.4,0,20.0,173.98
1300.0,0.377,1.49,117.0,0,20.0,196.08
1100.0,0.377,1.3,8.5,0,20.0,149.0
1100.0,0.395,1.39,7.3,0,20.0,202.0
1100.0,0.383,1.18,5.2,0,20.0,177.0
1000.0,0.38,1.2,40.0,0,100.0,81.51
700.0,0.374,0.87,1300.0,0,100.0,0.0
800.0,0.417,3.03,557.0,0,30.0,0.0
1400.0,0.381,1.89,40.0,0,30.0,231.69
1600.0,0.375,1.67,4.0,0,30.0,240.0
1300.0,0.3755,1.05,33.1,0,10.0,119.89
1500.0,0.3677,1.11,16.9,0,10.0,177.4
800.0,0.39,1.89,1430.0,0,100.0,0.0
800.0,0.39,1.94,1580.0,0,100.0,0.0
800.0,0.3356,0.9434,664.0,0,100.0,0.0
